Ay N
-1.54105 56.77
-1.53846 59.21
-1.53569 61.15
-1.53277 62.66
-1.52972 63.79
-1.52657 64.61
-1.52334 65.16
-1.52006 65.46
-1.51672 65.57
-1.51336 65.51
-1.50997 65.30
-1.50657 64.96
-1.50318 64.51

1.54244 41.25
1.54553 40.07
1.54848 38.61
1.55124 36.82
1.55379 34.65
1.55608 32.02
1.55805 28.88
1.55965 25.12
1.56082 20.64
1.56146 15.32
1.56147 9.00
1.56075 1.51
1.55916 -7.37
1.55654 -17.88
1.55269 -30.35
1.54739 -45.14
1.54036 -62.69
1.53128 -83.54
1.51976 -108.33
1.50533 -137.83
1.48743 -172.96
1.46540 -214.80
1.43843 -264.62
1.40560 -323.84
1.36581 -394.07
1.31784 -476.93
1.26032 -573.98
1.19183 -686.39
1.11100 -814.47
1.01670 -957.09
0.90831 -1110.91
0.78595 -1269.80
0.65065 -1424.66
0.50431 -1564.10
0.34942 -1675.98
0.18871 -1749.48
0.02483 -1777.08
-0.13965 -1755.96
-0.30212 -1688.46
-0.45977 -1581.69
-0.60967 -1446.17
-0.74904 -1293.91
-0.87570 -1136.37
-0.98837 -982.87
-1.08670 -839.84
-1.17122 -710.91
-1.24298 -597.43
-1.30334 -499.24
-1.35375 -415.29
-1.39560 -344.06
-1.43018 -283.94
-1.45861 -233.34
-1.48189 -190.83
-1.50083 -155.13
-1.51613 -125.14
-1.52839 -99.94
-1.53809 -78.75
-1.54564 -60.90
-1.55139 -45.87
-1.55561 -33.20
-1.55856 -22.51
-1.56042 -13.49
-1.56137 -5.89
-1.56154 0.53
-1.56107 5.93
-1.56005 10.47
-1.55856 14.29
-1.55669 17.47
-1.55448 20.13
-1.55201 22.33
-1.54930 24.13
-1.54641 25.61
-1.54336 26.79
-1.54018 27.73
-1.53690 28.46
-1.53354 29.00
-1.53012 29.39
-1.52665 29.64
-1.52315 29.77
-1.51963 29.81
-1.51609 29.76

1.52982 7.22
1.53336 7.21
1.53685 7.21
1.54029 7.21
1.54365 7.20
1.54692 7.21
1.55006 7.21
1.55306 7.21
1.55588 7.22
1.55848 7.23
1.56083 7.25
1.56286 7.27
1.56453 7.30
1.56576 7.33
1.56648 7.37
1.56658 7.42
1.56596 7.48
1.56448 7.55
1.56200 7.64
1.55833 7.74
1.55324 7.87
1.54648 8.02
1.53774 8.19
1.52664 8.40
1.51272 8.65
1.49545 8.95
1.47417 9.30
1.44807 9.70
1.41619 10.16
1.37737 10.68
1.33018 11.25
1.27295 11.85
1.20368 12.43
1.12010 12.90
1.01970 13.15
0.90001 12.97
0.75898 12.14
0.59571 10.44
0.41146 7.75
0.21044 4.15
0.00000 0.00
